,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
84,Fazenda Modelo,Fazenda Modelo (Eswalter Zanetti e Outros),2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_Fazenda-Modelo.pdf,RTRS CUC AGR COC 0084,Control Union,3808.0,14/12/20,13/12/25,1972.37,1,Individual,1,1,1,1,1,1,-2,1,1,0,1,1,1,1,2,-2,-1,1,1,1,1,1,-2,1,1,0,0,1,14,1.930672236953513,0
85,Cresol Estrada de Ferro,CRESOL - Estrada de Ferro,2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_CRESOL-Estrada-de-Ferro.pdf,RTRS CERTID AGR COC 0005,Cert Id Certificadora,30125.0,13/07/17,12/07/22,8469.58,15,Group,1,0,-2,-2,-2,-1,-2,-2,1,-2,0,2,1,-2,-2,1,-2,-2,1,-2,1,-1,-2,-2,-1,1,-2,-2,-25,3.5568469747024056,1
86,Fazenda Pau Furado,Fazenda Pau Furado,2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_Fazenda-Pau-Furado.pdf,RTRS CUC AGR COC 0081,Control Union,4723.0,07/12/20,25/08/25,600.24,1,Individual,1,1,1,1,1,1,-2,1,1,0,1,1,1,1,2,-2,1,1,1,1,1,1,-2,1,1,0,0,1,16,7.868519258963081,0
87,Fazenda Aurora,Fazenda Aurora,2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_Fazenda-Aurora.pdf,RTRS CUC AGR COC 0082,Control Union,4786.89,04/12/20,02/12/25,84.7,1,Individual,1,1,1,1,1,1,-2,1,1,0,1,1,1,1,2,-2,-2,1,1,1,1,1,-2,1,1,0,0,1,13,56.51582054309327,0
88,Bom Jesus Agropecuaria ,Bom Jesus Agropecuaria Ltda,2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_Bom-Jesus-Agropecuaria-Ltda.pdf,RTRS CUC AGR COC 0070,Control Union,51001.63,21/08/19,20/08/24,14658.0,1,Individual,1,1,1,1,2,2,-2,-2,1,-2,2,1,1,1,1,-1,-2,1,1,1,1,1,-2,1,1,1,0,-2,9,3.4794398963023605,0
89,Aliança da Terra,Aliança da Terra Gestora - Grupo IV,2020,https://responsiblesoy.org/wp-content/uploads/2020/12/2020_Informe-Publico_Alianca-da-Terra.pdf,RTRS CERTID AGR COC 0007,Cert Id Certificadora,222389.0,31/08/17,05/04/21,59101.56,35,Group,1,2,1,-2,1,1,-2,-1,1,1,1,-2,-1,1,1,-1,1,1,1,1,1,1,-2,1,1,-2,1,-2,4,3.762827918586244,2
90,Associação Clube Amigos da Terra ,Associacao Clube Amigos da Terra -CAT Sorriso,2020,https://responsiblesoy.org/wp-content/uploads/2020/11/2020_Informe-Publico_Associacao-Clube-de-Amigos-da-Terra-CAT-Sorriso.pdf,RTRS FCID AGR COC 0016,FoodChain Id Certificadora Ltda,234733.0,07/11/19,15/12/21,64213.0,22,Group,1,2,1,-2,2,1,-2,-2,2,0,-2,1,1,-2,1,-2,-2,1,2,1,-1,-2,-2,0,-2,-2,0,-2,-10,3.655537040786134,2
91,Fazenda Agrícola Dourado,Fazenda Agrícola Dourado S.A,2020,https://responsiblesoy.org/wp-content/uploads/2021/07/2020_Informe-Publico_-Fazenda-Agricola-Dourado-S.A.-REAL.pdf,RTRS CUC AGR COC 0066,Control Union,42480.0,03/12/18,02/12/23,11800.0,1,Individual,1,1,1,-2,1,1,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,-1,-2,-2,1,0,0,-2,6,3.6,0
92,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA. Grupo III,2020,https://responsiblesoy.org/wp-content/uploads/2020/11/2020_Informe-Publico_Cerquality-Consultoria-em-Sustentabilidade-e-Certificacao-LTDA-Grupo-III.pdf,RTRS CUC AGR COC 0078,Control Union,150817.02,28/10/20,27/10/25,40701.95,10,Group,1,1,1,-2,1,1,0,0,-2,1,2,2,1,1,1,0,1,1,1,1,1,1,-2,1,1,1,1,-2,14,3.7054003555112223,0
93,Agricola Xingu S.A,Agricola Xingu S.A,2020,https://responsiblesoy.org/wp-content/uploads/2020/10/2020_Informe-Publico_Agricola-Xingu-S.A..pdf,RTRSGCAGR 003,Gênesis Certificações,6770.0,15/10/20,15/10/25,63956.97,1,Individual,1,1,1,-2,2,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,1,1,1,1,18,0.10585241921247988,0
