Organization,Name,Farm,Address,Latitude,Longitude
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA. Grupo III,Fazenda Santa Maria da Fontoura,oura Canabrava do Norte/MT,10?59'52.25''S,52?09'38.37''
Grupo Reinhofer,Grupo Reinhofer,Fazenda Campo Bonito,Reserva do Iguaçu/PR,"25?46'39.2 50""S","51?55'38.0 20""O"
Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Bárbara,Pinhão/PR,"25?39'14.5 95""S","51?47'42.2 42""O"
Grupo Reinhofer,Grupo Reinhofer,Fazenda Cupim,Guarapuava/PR,"25?33'38.1 32""","51?30'47.7 85"""
Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Isabel,Guarapuava/PR,25?33'10.0 9''S,51?21'6.70' 'O
Grupo Reinhofer,Grupo Reinhofer,Fazenda Invernada da Reserva,Reserva do Iguaçu/PR,"25?52'11.3 59""","51?58'19.4 97"""
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Campos Lindos,Loteament o Santa Catarina - Município de Campos Lindos - Tocantins - BR,S 08o07'11'',W 46o31'50''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Chapada Alta,Loteament o Santa Catarina - Campos Lindos - Tocantins - BR,S 08o17'35'',W 46o46'37''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Santo Isidoro,Zona Rural - Riachão - Maranhão - BR,S 07o25'15'',W 46o21'41''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Batavo,"FazendaB atavo Km 245 Gerais de Balsas, Data Caracol Zona Rural - Balsas - Maranhão",S 08o33'53'',W 46o40'46''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda União,"Zona Rural, São Valério da Natividade - TO",S 11o32'53'',W 46o40'46''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Curitiva,Tasso Fragoso - MA,"S 07 39 15""","W 46 39 51"""
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Faz. Saquarema,Carmo da Cachoeira - MG,21?31'40.4 8'' S,45?15'04.6 3''
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Faz. Verdes Mares,Guapé - MG,"20?49'24.7 6"" S","45?56'18.1 6"" W"
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Faz. Potreiro,Três Pontas - MG,"21? 22'49,02"" S","45?18'30,51"" W"
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Agrorossi,Serra Salitre - MG,"19? 26'06.29"" S","46?50'40.35"" W"
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,São Pedro,Ibiá - MG,19`30`58.0 7``S,46`32`04.3 4``W
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Fazenda Novo Horizonte,Medeiros - MG,"19?56'16.0 7""S","46?26'23.7 6""W"
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Fazenda Vitoria,São Bento Abade - MG,"21?36'7.70"" S","45?6'16.04""W"
Saag Comercial Exportadora ,SAAG Comercial Exportadora Ltda. non-GMO,Fazenda Potreiro,Três Pontas - MG,"21?22'49,0 2"" S","45?18'30,51""W"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Carolina do Norte,T. Fragoso/MA,"08?73'58,3 1''","46?32'05,6 1''"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Rio Verde,Loreto/MA,"07?50'77,5 1""","45?47'54,5 3"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Granja Ceres,S. R. das Mangabeiras/MA,"07?16'76,0 0''","45?72'36,2 9''"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Itapuá,A.Parnaíba/MA,"09?03'23,0 6''","46?19'84,3 3''"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Ouro Branco,Paracatu/MG,"16?72'60,2 4''","47?02'54,6 0"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN III,Rainha da Serra,Uruçuí/PI,"07?55'47,3 9""","44?24'32,3 1"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Progresso,Sebastião Leal/PI,"7?27'22,19""","44?09'44.7 """
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Tunísia,Uruçui/PI,"7?24'39,20""","44?18'43.1"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Nova Holanda,Balsas/MA,"8?50'16,22""","46?33'40.8"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Sol Nascente,Balsas/MA,"7?24'26,40""","46?00'53.4"""
Bartira Agropecuária,Fazendas Bartira,Fazenda Pirapitinga,Canápolis - MG,"18,773725 W","-49,22685"
Bartira Agropecuária,Fazendas Bartira,Fazenda San Jorge,Costa Rica - MS,"053?10'06,3""","18?42'57,8"""
Bartira Agropecuária,Fazendas Bartira,Fazenda San Antônio,Tangará da Serra - MT,"57?53'43,76""","14?19'12,41""S"
Bartira Agropecuária,Fazendas Bartira,Fazenda Morumbi Agropecuária S.A,Alto da Boa Vista - MT,"51? 54' 38,3''","11? 53' 19,7'' S"
Bartira Agropecuária,Fazendas Bartira,Fazenda Bacuri,Riachão - MA,"46?25'41,124''","8?22'35,106''"
Bartira Agropecuária,Fazendas Bartira,Fazenda Horizontina Leste,Tasso Fragoso - MA,"45?44'50,87''","7?52'14,89''"
Bartira Agropecuária,Fazendas Bartira,Fazenda Horizontina Norte,Campos Lindos - TO,"-8,249437","7?52'14,89''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,AgroAna,"Rodovia MT 242, Ipiranga do Norte/MT, Brasil","12?15'56,11""","56?11'57,71"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,América,"Rodovia MT 220, Km 135, Tabaporã/MT, Brasil","11?32'46.71""","56?30'58.95"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Boa Vista,"Rodovia MT 140, Km 10 + 5 Km à direita, Sorriso/MT, Brasil","13?09'07,76''","55?22'28,44''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Conquista,"Rodovia MT 422 sentido União do Sul, no trevo da sete placa + 22 Km, Santa Carmem/MT, Brasil","12?00'11,06''","54?40'17,81''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Diamantino,"Rodovia BR 163, Km 797 + 15 à direita, Sinop/MT, Brasil","12?7'30,19""","55?28'49,07"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Fênix,"Rodovia MT 220, Km 90, Porto dos Gaúchos/MT, Brasil","11?44'52.88""","56? 7'4.00"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,JP,"Rodovia BR 242, Km 680 sentido Água Limpa, Nova Ubiratã/MT, Brasil","13?14'45,10''","55?11'14,15''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Nossa Sr? da Carmo,"Comunidade Tropical, S/N, Zona Rural, Sorriso/MT, Brasil","12?24'6,25""","55?58'31,64"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Potrich,"Rodovia MT 242, Km 50 + 5 Km à direita, Sorriso/MT, Brasil","12?55'19,67''","55?31'53,39''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Pressi,"Gleba Barreiro S/N, Zona Rural, Sorriso/MT, Brasil","12?14'5,07""","55?46'4,49"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Rio Branco,"Rodovia MT 010, 35 Km após Ipiranga do Norte sentido ""moegão da Bunge"", Ipiranga do Norte/MT, Brasil","11?57'24,15""","56?9'10,06"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Santa Carmen,"Rodovia MT 422, Gleba Manitsua- Missu, Santa Carmen/MT, Brasil","12?46'21,65""","55?57'15,72"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Santa Helena,"Estrada do Pontal + 17 Km, Zona Rural, Sorriso/MT, Brasil","12?30'19,39""","55?51'57,73"""
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,São José,"Rodovia MT 242, Km 140, Gleba SacKman, Nova Ubiratã/MT, Brasil","12?49'06,38''","54?56'20,29''"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificacao LTDA - Grupo I,Sichieri,"Loteamento Teles Pires, S/N, Faz. Sichieri, Sorriso/MT, Brasil","12?29'46.41""","55?48'56.46"""
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Campos Lindos,Loteamento Santa Catarina -Município de Campos Lindos - Tocantins - BR,S 08o07'11'',46o31'50''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Chapada Alta,Loteamento Santa Catarina -Campos Lindos - Tocantins - BR,S 08o17'35'',46o46'37''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Santo Isidoro,Zona Rural - Riachão - Maranhão - BR,S 07o25'15'',46o21'41''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Batavo,"Fazenda Batavo Km 245 Gerais de Balsas, Data Caracol Zona Rural - Balsas - Maranhão - BR",S 08o33'53'',W 46o40'46''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda União,"Zona Rural, São Valério da Natividade - TO",S 11o32'53'',48o24'05''
Agrex do Brasil,Agrex do Brasil S.A.,Fazenda Curitiva,Tasso Fragoso - MA,"S 07 39 15""","W 46 39 51"""
GGF Agro,GGF - Guerino Ferrarin e Outros,Fazenda Izabela,Santo Antonio do Leste/MT,"14?51'28.3 0""S","53?29'31.6 5""O"
GGF Agro,GGF - Guerino Ferrarin e Outros,Fazenda Primavera,Primavera do Leste/MT,15?14'20.5  3''S,"54?9'14.72"" O"
GGF Agro,GGF - Guerino Ferrarin e Outros,Fazenda Independência,Santo Antonio do Leste/MT,"14?51'30.9 6""S","53?29'35.3 4""O"
GGF Agro,GGF - Guerino Ferrarin e Outros,Fazenda Rio Bonito,Nova Ubiratã/MT,"13?31'26.5 3""S","55?04'36.4 2""O"
GGF Agro,GGF - Guerino Ferrarin e Outros,Fazenda Pirapó,São José do Rio Claro/MT,"13?51'11.31""S","57?11'29.5 0""O"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Fazenda Lage,Santana da Vargem - MG,21? 16' 58,"45? 26' 03""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Fazenda Saquarema,Carmo da Cachoeira - MG,21?31'40.4 8'' S,45?15'04.6 3''
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Agropecuaria Verdes Mares,Guapé - MG,"20?49'24.7 6"" S",45?15'04.6 3''
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Potreiro,Três Pontas - MG,"21?22'49,0 2"" S","45?18'30,5 1"""
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Agrorossi,Serra Salitre - MG,"19?26'06.2 9"" S","46?50'40.3 5"""
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,São Pedro,Ibiá - MG,"19`30`58.0 7""",46`32`04.3 4
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Fazenda Angico,Ibiá - MG,"19`30`58.0 7""",46`32`04.3 5
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Fazenda Novo Horizonte,Medeiros - MG,"19?56'16.0 7""S","46?26'23.7 6"""
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,Fazenda da Laje,Luminarias - MG,"21?36'7.70"" S","45?6'16.04""O"
GGF Agro,GGF - GUERINO FERRARIN E OUTROS,Pau da Onça,Santa Rita do Trivelato/MT,"13?39'59,6 16''","55?23'37,6 38''"
Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,Nossa Senhora Aparecida,Agua Fria de Goiás/GO,"-47,72547","-14,82449"
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA AGRO BOA VISTA,BALSAS - MA,8.597150°,46.639218 º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CERTEZA,BALSAS - MA,8.118607°,45.870153º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CHAPADÃO,TASSO FRAGOSO – MA,8.651808°,45.945183º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA SAPUCAÍ,TASSO FRAGOSO - MA,8.297231°,45.769278º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA GUAÍRA,FORTALEZA DOS NOGUEIRAS – MA,7.088961°,45.945405º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CAIUÁ,BALSAS - MA,8.430479°,46.618932º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA SEIS IRMÃOS,RIACHÃO - MA,7.447427°,46.326400º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA JAPURÁ,SANTA FILOMENA - PI,8.721907°,45.570364º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ALVORADA,SÃO DESIDÉRIO - BA,12.423922º,46.2506222º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA TAKAHASHI,BALSAS - MA,8.678837°,46.665834º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA LAGOA ENCANTADA,PRIMAVERA DO LESTE - MT,15.266706º,54.263947º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ESCONDIDO,BALSAS - MA,7.963056°,45.924650º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA PIRACICABA,TASSO FRAGOSO - MA,7.965008°,45.752163º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ANGICOS,TASSO FRAGOSO - MA,8.125459°,45.789736º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA GUARANI,SÃO DESIDÉRIO - BA,12.902398 º,46.194599º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ORQUÍDEAS,BARREIRAS - BA,11.842230 º,46.244109º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CAMPO ABERTO BARREIRAS – BA,BARREIRAS - BA,11.793402 º,45.958693º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA BAIXÃO PRETO,RIACHÃO - MA,8.191716°,46.461772º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA  AGROMANTOVA  - BATAVO,BALSAS - MA,8.520959°,46.749241º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA TABATINGA,ALTO PARNAÍBA – MA,8.994900°,46.559639º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA TERRA NOVA,TASSO FRAGOSO - MA,8.672696°,46.011546º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ARAPUÃ,BALSAS - MA,8.124330°,46.14611º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA APUÃ,BALSAS - MA,8.041355°,45.976106º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA NOSSA SENHORA DAS GRAÇAS,TASSO FRAGOSO - MA,8.135828°,46.133402º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA SAMA,LUIZ EDUARDO MAGALHÃES - BA,12.214789 º,45.958782º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CONDOMINIO IRMÃOS GATTO,BARREIRAS - BA,11.837680 º,46.289570º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA CABECEIRA,TASSO FRAGOSO - MA,8.447452°,45.937696º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA TEATINO,BALSAS - MA,7.960087°,45.809129º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA TRADIÇÃO,RIBEIRO GONÇALVES - PI,7.798658 °,45.054773º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA GBC,CORRENTINA - BA,13.504164 º,46.113412º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA PARANÁ,CORRENTINA - BA,13.740469 º,46.140271º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA PORTO ALEGRE,CORRENTINA - BA,12.804929 º,45.656859º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA FAVEIRA,TASSO FRAGOSO - MA,7.849968°,45.778352º
Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,FAZENDA ALVORADA – FRITZEN,MONTE ALEGRE - PI,9.375476°,45.21697 8º
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Carlos Eduardo Silveira,Assentamento Ander Rodolfo Henrique ,"24°55'14.2 7""","54° 2'6.60"""
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Tatiana Eloiza Scultz,Assentamento Ander Rodolfo Henrique ,"54°3'10.98""","24°56'48.8 7"""
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Cleusa Guilherme da Silva,Assentamento Ander Rodolfo Henrique ,"54° 2'6.60""","24°55'14.2 7"""
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Diomar Zopellaro,Assentamento Ander Rodolfo Henrique ,"24°55'13.0 2""","54°2'19.6 1"""
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Jose Ezildo da Silva,Assentamento Ander Rodolfo Henrique ,"24°56'20.3 6""","54°3'30.1 9"""
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Flavio Luiz Berno,Distrito Floresta – Palotina,"24º 13' 13""",53º 42' 39''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Caroline de Carle Gomes,Linha Alvorada – Palotina,"24º 14' 26""",53º 51' 47'
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Darci Dedimar Tomm,Linha Belmonte - Marechal C. Rondon,"24°29'59""",54°10' 51''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Hilario Mattuizzi,Linha Madrugada – Palotina,"25° 05' 19""",53º 34' 53''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Deomiro Bernardo Lehmkuhl,Vila Floresta – Palotina,"24º 11' 56""",53º 43' 02''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Lauri Leo Buzanello,Linha São Clemente – Palotina,"24º 15' 53""",53º 53' 37''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Araides Duarte da Luz,Assentamento Olga Benario - Santa Tereza,"25° 05' 19""",53º 34' 53'
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Roberto Pradela,Vila Floresta – Palotina,"24º 11' 37""",53º 43' 34'
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,Olindo Pierezan,Linha Madrugada – Palotina,"25° 05' 19""",53º 34' 53''
Amaggi,Amaggi EU RED 2,Fazenda Tanguro,Querência - MT,"12?52'30,7 6""","52?23'31,8 8"""
Amaggi,Amaggi EU RED 2,Fazenda Itamarati,Campo Novo do Parecis - MT,"14?19'5.35""","57?57'25.8 4"""
Amaggi,Amaggi Commodities,Fabiane II,"Rodovia BR 163, Km 600 à direita mais 28 Km pela MT 235, Nova Mutum - Mato Grosso,","55?52'23,06""W","13?45'9,76""S"
Amaggi,Amaggi Commodities,Horizontina,"Estrada de Ipiranga do Norte a Sinop - MT 222, mais 12 KM, Sorriso - Mato Grosso","56?4'5""W","11?53'26""S"
Amaggi,Amaggi Commodities,Nova Esperança,"Rodovia MT-338, Km 116 + 1,5 Km direita, Tapurah - Mato Grosso","56?38'41,1""W","12?31'01,0""S"
Amaggi,Amaggi Commodities,Pomba Branca,"Rod BR 163, Km 740, mais 35 Km a esquerda, Sorriso - Mato Grosso","55?52'17""W","12?21'53""S"
Amaggi,Amaggi Commodities,Poranga,"Rodovia BR-163, Km 755, Sorriso - Mato Grosso","55?37'02""W","12?28'10""S"
Amaggi,Amaggi Commodities,Rancho Alegre,"Rod. BR 163, Km 585, a direita mais 110 KM, do Distrito de Pacoval - Santa Rita Trivelato - Mato Grosso","55?18'03,1""W","14?06'52,3""S"
Amaggi,Amaggi Commodities,Reunidas São Roberto,"Rodovia MT 242 sentido Nova Ubiratã, Km 17 a esquerda mais 6 Km, Vera - Mato Grosso",55? 30' 46''W,12? 37' 2'' S
Amaggi,Amaggi Commodities,Rincão Florido,"Rodovia MT-010, Km 160 esquerda, Ipiranga do Norte - Mato Grosso","56?18'39,6""W","12?19'49,2""S"
Amaggi,Amaggi Commodities,Riograndense,"Rod BR 163, Km 742, mais 10 Km a esquerda, Sorriso - Mato Grosso","55?38'5""W","12?33'26""S"
Amaggi,Amaggi Commodities,Santa Ignes,"Rodovia MT-338, Km 106 + 4 Km esquerda, Tapurah - Mato Grosso","56?38'32,9""W","12?35'17,4""S"
Amaggi,Amaggi Commodities,Santa Lucia,"Rodovia Br 163 Km 689, mais 33 a esquerda, Lucas do Rio Verde - Mato Grosso","55?43?'17,4""W","12?51'55,6""S"
Amaggi,Amaggi Commodities,São Francisco Do Sul,"Rodovia MT 338, Km 110, mais 4 Km a esquerda,Tapurah - Mato Grosso","56?39'29,51""W","12?35'33,44""S"
Amaggi,Amaggi Commodities,Vendaval,"Rodovia MT-338, Km 143 + 20 Km a direita, Porto dos Gaúchos - Mato Grosso","56?21?'3,00""W","12?3'9,13""S"
Amaggi,Amaggi Commodities,Nova Esperança,"Rodovia MT-338, Km 116 + 1,5 Km direita, Tapurah - Mato Grosso","56?38'41,1""W","12?31'01,0""S"
Amaggi,Amaggi Commodities,Santa Ignes,"Rodovia MT-338, Km 106 + 4 Km esquerda, Tapurah - Mato Grosso","56?38'32,9""W","12?35'17,4""S"
Amaggi,Amaggi Commodities,São Francisco do Sul,"Rodovia MT 338 Km 110, mais 4 Km a esquerda, Tapurah - Mato Grosso","56?39'29,51""W","12?35'33,44""S"
Amaggi,Amaggi Commodities,Don Aro,"Linha MA 26 Complemento MP 72 GL Machadinho, Ariquemes - Rondônia","61?59'0.85""W","9?34'17.73""S"
Amaggi,Amaggi Commodities,Rincão Florido,"Rodovia MT-010, Km 160 esquerda, Ipiranga do Norte - Mato Grosso","56?18'39,6""W","12?19'49,2""S"
Amaggi,Amaggi Commodities,Vendaval,"Rodovia MT-338, Km 143 + 20 Km a direita, Porto dos Gaúchos - Mato Grosso","56?21?'3,00""W","12?3'9,13""S"
Amaggi,Amaggi Commodities,Poranga,"Rodovia BR-163, Km 755, Sorriso - Mato Grosso","55?37'02""W","12?28'10""S"
Amaggi,Amaggi Commodities,Reunidas São Roberto,"Rodovia MT 242 sentido Nova Ubiratã Km 17 a esquerda por mais 6 Km, Vera - Mato Grosso",55?30'46''W,12?37'2''S
Amaggi,Amaggi Commodities,Vitoria,"Gleba Nucleo Colonial Rio Ferra,Vera - Mato Gross","55?01'55,86""W","12?27'40,11""S"
Amaggi,Amaggi Commodities,Riograndense,"Rod BR 163, Km 742, mais 10 Km a esquerda, Sorriso - Mato Grosso","55?38'5""W","12?33'26"""
Amaggi,Amaggi Commodities,Pomba Branca,"Rod BR 163, Km 740, mais 35 Km a esquerda, Sorriso - Mato Grosso","55?52'17""W","12?21'53""S"
Amaggi,Amaggi Commodities,Horizontina,"Estrada de Ipiranga do Norte a Sinop - MT 222, mas 12 KM, Sorriso - Mato Grosso","56?4'5""W","11?53'26""S"
Amaggi,Amaggi Commodities,Silvano I e Nossa Senhora Aparecida,"Linha Celeste, Km 20, Vera - Mato Grosso","55?34' 09,65""W","12?33' 24,39''S"
Amaggi,Amaggi Commodities,Santa Lucia,"Rodovia BR 163 Km 689, mais 33 à esquerda, Lucas do Rio Verde - Mato Grosso","55?43?'17,4""W","12?51' 55,6""S"
