"Ticker","Nome","Negócios","Última (R$)","Variação"
"KLBN4","Klabin","2.397.100","4,31","-0,46%"
"SBSP3","Sabesp","2.319.900","78,97","-1,74%"
"BPAN4","Banco Pan","2.302.500","8,41","-0,36%"
"RECV3","PetroRecôncavo","2.297.500","22,62","-0,62%"
"EVEN3","Even","2.289.500","7,18","-4,52%"
"TRPL4","Transmissão Paulista","2.233.900","26,61","-0,89%"
"SAPR4","Sanepar","2.089.200","5,48","-1,44%"
"GUAR3","Guararapes","2.073.100","4,91","-4,10%"
"PGMN3","Pague Menos","2.041.700","2,94","-3,61%"
"VULC3","Vulcabras","2.017.800","17,50","-3,21%"
"GGPS3","GPS","1.966.800","18,57","-2,72%"
"HYPE3","Hypera","1.961.000","32,09","-1,47%"
"PINE4","PINE","1.951.700","4,32","-5,05%"
"CSMG3","COPASA","1.928.000","21,31","-1,48%"
"TTEN3","3tentos","1.927.800","10,02","-4,66%"
"VIVT3","Vivo","1.925.800","53,68","-0,39%"
"CPFE3","CPFL Energia","1.906.600","35,71","-2,08%"
"SBFG3","Grupo SBF","1.892.600","13,56","-0,51%"
"PDGR3","PDG Realty","1.888.200","0,33","+0,00%"
"SMTO3","São Martinho","1.849.400","27,39","-3,45%"
"BRKM5","Braskem","1.830.100","17,52","-0,34%"
"ONCO3","Oncoclínicas","1.826.000","10,87","-0,55%"
"IRBR3","IRB Brasil RE","1.822.800","40,83","-3,41%"
"ENAT3","Enauta","1.818.100","19,40","+0,21%"
"MTRE3","Mitre Realty","1.770.800","4,56","-3,80%"
"SLCE3","SLC Agrícola","1.750.700","19,10","-2,25%"
"ARZZ3","Arezzo","1.720.900","58,60","-2,38%"
"ZAMP3","Zamp","1.679.000","4,67","-1,27%"
"ABCB4","Banco ABC Brasil","1.653.400","23,63","-1,34%"
"ELET6","Eletrobras","1.628.400","47,28","-1,25%"
"PLPL3","Plano&Plano","1.619.800","12,00","+3,81%"
"VIVA3","Vivara","1.611.900","31,80","-1,85%"
"GRND3","Grendene","1.608.500","6,30","-1,56%"
"NEOE3","Neoenergia","1.544.000","21,02","-0,90%"
"MDNE3","Moura Dubeux","1.456.300","10,88","-2,86%"
"CASH3","Méliuz","1.408.000","7,47","-0,13%"
"MEAL3","IMC Alimentação","1.396.200","1,68","-4,00%"
"INTB3","Intelbras","1.332.800","19,80","-3,41%"
"LIGT3","Light","1.281.900","5,45","+0,37%"
"SMFT3","Smart Fit","1.270.600","24,48","-0,69%"
"VVEO3","Viveo","1.235.100","8,78","-4,77%"
