,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria
6,GGF Agro,GGF Agro LTDA,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/2022-GGF-Agro-Public-Summary-3-surveillance-2.pdf,RTRS CUC AGR 0071 18 12 2019,Control Union,"27251,5",18/12/19,17/12/24,6924,1,Individual,"A legislação aplicável está sendo cumprida, evidenciado através de visita à campo (auditoria 2019), avaliação de documentação e entrevistas com os colaboradores que as leis trabalhistas, meio ambiente, saúde e segurança e agrícolas são respeitadas em quase sua totalidade. Auditoria 2020 remota. As informações apresentadas durante a auditoria demonstram que o auditado possui conhecimento sobre os requisitos legais aplicáveis. A empresa possui um departamento jurídico que dá aporte as legislações aplicáveis, assim como os responsáveis por cada área na empresa.",Os direitos legais de uso das terras estão definidos e demonstrados em documentos como matrículas e escrituras.,"No documento Levantamento de Aspectos Sociais Ambientais e Agrícolas e Plano de monitoramento para garantir que a vegetação nativa e a vida silvestre sejam mantidas estão dispostos os pontos analisados e as ações de controle e mitigação propostas, assim como a avaliação de sua eficácia. Foi criado um protocolo de monitoramento para diferentes aspectos ambientais, sociais e agrícolas para ver como eles evoluem ao longo dos anos. Documento criado e protocolo de acompanhamento (MITIGAÇÃO DE RISCOS SOCIAIS - TURNOVER - Horas de treinamento por colaborador; MITIGAÇÃO DE RISCOS AMBIENTAIS - Coleta de material contaminado; MITIGAÇÃO DE RISCOS AGRÍCOLA - Matéria orgânica).","Não foi constatado evidências de trabalho forçado, compulsório, escravo, tráfico ou outro trabalho involuntário durante o processo de auditoria nos ambientes de trabalho ou ouvido durante as entrevistas com os funcionários nas unidades de produção do grupo. (2020) Uma declaração foi assinada para cumprir alguns critérios para ser uma auditoria remota. Não há menores de 18 anos trabalhando nas fazendas visitadas na campanha anterior e corroborado durante esta auditoria remota por meio de entrevistas. Pagamentos e benefícios adequados à legislação e aos cargos exercidos.","As ficha de registro, contrato de trabalho e holerites referente aos funcionários da unidade de produção, estavam disponíveis em linguagem de fácil entendimento no departamento de RH para consulta dos trabalhadores. Documentos referentes a aspectos trabalhistas disponíveis para todos os trabalhadores. Evidências de que as normas de trabalho e segurança são passadas aos trabalhadores foram constatadas.","Informações sobre saúde e segurança estão documentadas e são transmitidas para funcionários na Integração ou durante treinamentos, e todos os registros foram evidenciados. Equipamentos de proteção são fornecidos de acordo com o risco identificado para cada função e há canais de comunicação disponíveis e meios de transporte para situações de emergência. Também um análise de riscos de saúde e segurança presente.Ter um técnico de segurança recomendado por lei, que conversa semanal com pessoas.","Não há impedimento de liberdade de associação e direitos à negociação coletiva, assim como o impedimento quanto à presença dos mesmos na fazenda, ficando a filiação por conta do colaborador.","Salário pagos adequadamente compatível com a legislação nacional e com as convenções coletivas. Ter descanso semanal, férias e sem descontos indevidos dos colaboradores. Não há deduções irregulares e / ou de natureza disciplinar. Há fornecimento de água com padrões de potabilidade de acordo com a legislação vigente, assim como estruturas e alimentação. A jornada de trabalho cumpre com o estabelecido pela CLT. Jornadas de trabalho extras por trabalhador são voluntárias, comunicadas e remuneradas.","A Comunicação com a comunidade é estabelecida, uma vez que o Grupo GGF é conhecido na comunidade e os meios de comunicação atendem a demanda, assim como placas disponíveis na parte externa da fazenda, com os canais de comunicação. GGF também publica uma revista com todas as atividades sociais, produtivas e indicações de segurança realizadas no campo.","A empresa possui um identificação das áreas de produção que não identifica a presença de povos indígenas próximos à fazenda, assim como locais de importância cultural, ecológica, econômica ou religiosa, ambientes estes protegidos por lei","A empresa possui um identificação das áreas de produção que não identifica a presença de povos indígenas próximos à fazenda, assim como locais de importância cultural, ecológica, econômica ou religiosa, ambientes estes protegidos por lei.","As vagas de emprego são divulgadas internamente e programas de colaboração local está sendo realizado pela empresa GGF. Oportunidade de emprego divulgada para as comunidades locais. As fazendas dão prioridades à contratação de mão de obra local, influenciando no consumo em comunidades próximas, além de doações.","Os aspectos sociais, ambientais e agrícolas foram identificados de forma abrangente para a fazenda inserida no escopo de certificação. (2020) eles criam uma planilha com os riscos associados à produção.","Existe um plano de Gerenciamento de Resíduos onde é descrito as ações que a propriedade toma com relação aos resíduos gerados. Não há queima de restos de cultura, vegetação e resíduos. (Esta todo proibido) Tudo foi evidenciado durante a auditoria de 2019. Durante a atual auditoria de 2020, foi evidenciado por imagens e vídeos, e pela assinatura de uma autodeclaração de conformidade.",A fazenda realiza o controle do combustível gasto na produção através de sistema eletrônico. O monitoramento realizado permite avaliar quando há aumento da intensidade de uso de combustível fóssil. A matéria orgânica do solo monitorada e medidas para melhora implementadas. GGF a Identificado oportunidades para aumentar o sequestro de carbono.,Atendimento com relação a política de desmatamento do padrão atendido pela fazenda. Não houve conversão de terras após 2009. Não há evidências de conversões de áreas antes de 3 de junho de 2016.,Áreas ambientais segue o estabelecido pelo Código Florestal Brasileiro e estão descritos no CAR. A Fazenda Pau da Onça possui mapa disponível. A fazenda possui mais de 10% de vegetação nativa. (Possuem 24 % de vegetação ) e outra parte 57% de vegetação nativa.,"Boas práticas agrícolas são realizadas diariamente, protegendo o solo e água de contaminação. Não observada evidência de contaminação de água. Eles tem um Protocolo Guerino - Outorgas d´água poço",As áreas de interesse estão sendo protegidas conforme código florestal brasileiro. Áreas úmidas naturais na unidade de produção intactas.,"Técnicas como plantio direto, rotação de cultura, o uso de curvas de nível e análises de solo são realizadas para melhorar a qualidade do solo e controle da erosão nas unidades de produção da unidade.","São utilizados produtos registrados e aplicados na dose recomendada. Foi criado um plano de manejo de safra integrado denominado - Protocolo Biológico GGF - e MIP, para verificar os limites do ano econômico para pragas para reduzir o número de aplicações",Local de armazenamento dos produtos esta adequado. Registro de aplicação de produtos estão completos. Há placas indicando a aplicação de produtos e o período de reentrada para áreas recentemente pulverizadas e o uso de fertilizantes segue recomendações de profissionais. Há placas indicando a aplicação de produtos e o período de reentrada para áreas recentemente pulverizadas.,Nenhuma evidência do uso de agroquímicos listados nas Convenções de Estocolmo e Roterdã foi encontrada nas unidades de produção. O Paraquat não é utilizado.,"As aplicações de agentes de controle biológico, seguem as mesmas dos defensivos agrícolas seguindo as Recomendações Técnicas Agronômicas emitidas para cada aplicação pelo Eng. Agr. Responsável pela unidade.",Em caso de incidências de novas pragas ou espécies invasoras a empresa entrará em contato com o MAPA e Fundação Matogrosso. Comunicação é de obrigatoriedade no Brasil.,"As aplicações são realizadas com distância correta de áreas povoadas e áreas de proteção. Não há áreas de produção dentro de um raio de 30 metros de áreas povoadas e corpos de água. Foi criado um plano de manejo de safra integrado denominado - Protocolo Biológico GGF, eles também possuem um protocolo de Redução de Deriva.",Todas as áreas vizinhas têm o mesmo tipo de sistema de produção da unidade. A distância mínima para aplicação é respeitada.,A origem das sementes pode ser através de compra de empresas conhecidas que emitem comprovante de procedência e através de produção própria com RENASEM.
9,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,2022,https://responsiblesoy.org/wp-content/uploads/2023/01/2022_Informe-Publico_CerQuality-IV-2.pdf,RTRS CUC AGR COC 0104,Control Union,"196369,17",18/08/22,17/08/27,"50732,3",12,Group," As fazendas cumprem com as leis aplicáveis. Os colaboradores demonstraram conhecimento da legislações e documentos relevantes estavam disponíveis. As informações apresentadas durante a auditoria demonstram que o auditado possui conhecimento sobre os requisitos legais aplicáveis. A empresa possui um departamento jurídico que dá aporte as legislações aplicáveis. Durante a auditoria foram verificadas a documentação nas pastas dos funcionários, verificação da infraestrutura das fazendas, visitas a campo, entrevistas com os responsáveis das áreas de recursos humanos, agronômica, ambiental, segurança do trabalho e ficou demonstrado o conhecimento das leis aplicáveis. Foram verificados documentos que demonstram a posse das terras,, lista dos agrotóxicos utilizados e dosagens aplicadas, receituários agronômicos, boas práticas agrícolas, treinamentos com os funcionários. Foram verificados contratos de trabalho, registros dos empregados, cartão ponto, holerites (pagamentos e descontos) e exames médico que foram confrontados com o Programa de Controle Médico de Saúde Ocupacional. O acordo coletivo de trabalho, licenças ambientais, cadastro ambiental Rural (CAR), outorgas e analise de potabilidade.","O direito de uso da terra está documentado e acessível, foram apresentados documentos como certidões de matrículas dos imóveis, comprovando os direitos de uso das terras próprias e arrendadas constituintes no escopo de certificação.","Há estudo Ambiental denominado ""Avaliação de Risco Ambiental e Social'' o qual contempla a avaliação e monitoramento dos aspectos sociais, ambientais e operação agrícola elaborado no ano de 2021 pelo Especialista em Engenharia Ambiental. A auditoria interna nas fazendas foram realizadas, na Fazenda Santana em 25/8/21, Fazenda Santa Antônio Kohn em 6/7/22, Fazenda Santo Antônio - Agosto de 2021; Fazenta Santa Isabel - Agosto de 2021 e Fazenda Sapucaí - Agosto de 2021 Os resultados do monitoramento foram analisados durante a auditoria interna, onde itens, em que as medidas de mitigação e controle não foram eficazes, foram tomados como NC e solicitadas ações corretivas.","Nenhuma evidência de trabalho forçado, imposto, traficado e/ou involuntário foi visto por meio de visitas aos ambientes de trabalho ou ouvido durante a entrevista com os trabalhadores das fazendas. Os documentos de identidade são devolvidos aos funcionários de acordo com a legislação. As esposas e filhos dos funcionários podem trabalhar nas fazendas em regime normal de contratação, caso haja interesse por parte dos trabalhadores e vagas por parte do empregador. Não há menores de 18 anos trabalhando nas fazendas amostradas. Os pagamentos são de acordo com as atividades exercidas e estabelecidos em convenção coletiva, além de benefícios referentes à alimentação, plano de saúde, odontológico, moradia, entre outros, descritos em holerites e documentação contratual. Há o documento ""Politicas Internas e Código de Conduta"" entregua a todos os funcionários, abordando o tema de discriminação","Todos os trabalhadores possuem ficha de registro, contrato, além de acordo coletivo de trabalho, que especificam suas condições de trabalho. Durante a auditoria nas fazendas amostradas, foram evidenciadas várias metodologias que transmite tais assuntos aos trabalhadores, como treinamentos de integração, cursos e treinamentos e dias de campo. Os contratos estão disponíveis em linguagem de fácil entendimento. As fazendas não possuem acordo coletivo, pois não há sindicato dos trabalhadores atuante na região, no entanto, as especificações do acordo coletivo estadual são seguidas.","O trabalhadores e responsáveis pela operação demonstraram conhecimento sobre e saúde e segurança no trabalho através de explicações verbais abordando questões relacionadas à aplicação de defensivos agrícolas, uso de máquinas e equipamentos e uso de EPI. Há treinamento de integração e código de conduta abordando tais temas, que foram explicados aos trabalhadores. Apresentação dos documentos de saude e segurança e ocntrole médico de saúde ocupacional, identificando os riscos e procedimentos de controle. As fazendas possuem mecanismos de verificação de uso de EPI, como sistemas de advertências aos funcionários, descritos no código de conduta, entregue na integração do funcionário. Foram evidenciados lista de presença e certificados de treinamentos dos trabalhadores tais como: NR 05 Prevenção de acidentes, Condutas perigosas, NR 06 EPI, NR-31.12 Máquinas e Equipamentos, NR-31.8 Aplicação de Agrotóxicos, NR-23 Combate a Princípio de Incêndio, NR 20 - Líquidos inflamáveis, Primeiro Socorro; para os funcionários que exercem funções de risco em ambas as fazendas.",Os trabalhadores são livres para se afiliar a qualquer organização. Através de entrevista com funcionários foi identificado que não há nenhum tipo de discriminação ou ação que impeça ou dificulte a ação de organizações nas Fazendas. Direito de negociação coletiva garantido e integração com partes externas garantido.,"As remuneração são compatíveis com a legislação nacional e com as convenções coletivas, informações de salário e descontos são detalhadas nos holerites, que descrevem as deduções de salários que são relacionados a deduções de impostos e uma % dos benefícios concedidos como acordo em documentação contratual. A jornada de trabalho cumpre com o estabelecido no Acordo Coletivo de Trabalho. Os registro de jornadas de trabalho são feitos pelos trabalhadores atendendo aos requisitos legais. Verificado através do espelho de pontos. Foram apresentados Analises de Potabilidade de Água dos poços de captação de água para consumo humano e todos os resultados atendem os padrões de potabilidade estabelecidos na Portaria do Ministério da Saúde. Existem alojamentos para os colaboradores das fazendas que moram sem custos e todos os locais verificados. As moradias estavam em boas condições, também fornecem alimentação adequada, sem custos aos colaboradores.","A comunicação ocorre através dos canais de comunicação como website contendo e-mails telefones, endereço postal nas estradas das fazendas com placas de divulgação escritas “fale conosco” contendo o telefone e o website da Cerquality e internamente nas fazendas do escopo através de “caixa de sugestão e reclamação”, disponíveis próximo ao controle de ponto do trabalhador e/ou murais na fazenda. Foram evidenciadas através de entrevistas com os funcionários das fazendas auditadas que os canais de comunicação foram amplamente divulgados.",Nenhum usuário tradicional de terras e disputas foi encontrado na área avaliada. Foram apresentados documento de posse das terras como as matrículas. Foram realizadas entrevistas com funcionários residentes nas comunidades vizinhas e com os gestores das fazendas e nenhuma situação de disputa foi informada ou encontada.,"É disponibilizado mecanismo de queixas, sugestões e reclamações, que estabelece um procedimento de registro e tratamento de reclamações, através de um formulário de queixas e reclamações, disponível nas unidades de produção, é dado conhecimento sobre este mecanismo a todos os interessados.","Os trabalhadores contratados são oriundos das comunidades próximas as fazendas e as vagas são divulgadas através dos próprios colaboradores na comunidade local, onde o interessado vem até a empresa e preenche a solicitação de emprego, tenho seu currículo arquivado. Há ações que incentivam o desenvolvimento das comunidades próximas às fazendas do escopo, realizadas pelas fazendas e acompanhadas pela Cerquality.","O gestor do grupo possuí relatórios contendo todos os indicadores sociais e ambientais, o relatório é encaminhado é disponibilizado mediante a solicitação. Os aspectos estão identificados no documento ""Avaliação de Risco Ambiental e Social e Medidas de Mitigação"" de setembro de 2021, contendo a identificação dos aspectos sociais, ambientais e agrícolas, dentro e fora da fazenda, os pontos que devem ser melhorados e monitorados foram apresentados. A avaliação foi realizada pelo Gestor do Grupo. As avaliações estão de acordo com a realidade das operações realizadas pelas fazendas. Todas as informações foram tratadas abertamente e todos os aspectos encontrados foram relatados para avaliação da necessidade de mitigação de impactos ambientais e sociais.","Não há queima de restos de cultura, os mesmos são reutilizados para plantio direto. Existe Plano de Gerenciamento Ambiental apresentado durante a auditoria contempla a gestão dos resíduos incluindo todas as áreas da propriedade. Há o gerenciamento e a destinação final das baterias, óleo lubrificante usado, lâmpadas, pneus, água de lavagem de aplicadores de defensivo agrícola são armazenados em infraestrutura adequada com impermeabilização, contenção, ventilação, protegida e descartados de forma correta. Para os resíduos mencionados acima foram apresentados comprovantes de destinação para empresas credenciadas, garantindo o destino correto.","As fazendas monitoram o uso de diesel através do sistema e OS para cada abastecimento, por data e equipamentos. É possível verificar o uso por dia, por mês, por safra e comparar com a produção da soja. O monitoramento realizado em conjunto com o cronograma agrícola e práticas culturais permite justificar quando ocorre um aumento significativo do consumo de diesel, item acompanhado pelo gestor do grupo e informado durante a auditoria. Os teores de matéria orgânica do solo são monitorados através das analises de solo anuais, também utilizam práticas de plantio direto, que promovem a manutenção da matéria orgânica no solo. Oportunidades de aumentar o sequestro de carbono, como a conservação de floresta nativa em área de reserva, assim como áreas de APP, matas isoladas remanescentes e uso de técnicas como rotação de cultura e plantio direto","Evidenciado através de mapas e fotos via satélites que as áreas de soja já são utilizadas para agricultura antes de maio de 2009, não havendo conversão de florestas nativas e áreas com vegetação regenerada. O gestor de grupo apresentou todos os mapas das fazendas participantes do grupo ""Mapa de comparação com imagens de satélite (2009 , 2016 e atual)"". Os mapas foram confrontados com o mapa RTRS, demostrando que as áreas estão adequadas.","Há os mapas detalhados de todas as fazendas com indicação da vegetação nativa, as áreas de produção e os cursos d'água. As fazendas auditadas com áreas prórpias possuem mais de 10% da área de vegetação nativa, no entanto, todas realizam ações para incentivar a vida silvestre, proteger e restaurar a vegetação nativa. É realizado o monitoramento periódico das áreas com vegetação nativa (APP e RL) nas fazendas, onde existem placas de aviso proibindo a caça nesses locais e nos planos socioambientais das fazendas, foram incluídas medidas de conservação da flora e da fauna.","As fazendas auditadas demonstram realizar boas práticas agrícolas (controle de erosão, plantio direto, terraços para contenção das águas de chuva, canais de escoamento, aplicação adequada de agrotóxicos e fertilizantes) que auxiliam na recarga do aquífero e auxiliam na qualidade das águas superficiais e subterrâneas. Há monitoramento periódico de águas subterrâneas usada nos processo agrícolas e para consumo humano. Os aspectos sociais, ambientais e agrícolas foram avaliados, estando presentes no documento Avaliação Socioambiental para Produção Agrícola RTRS_Versão 1.0 e Avaliação de Aspectos e Perigos por Processo_Versão 1.0. Evidenciado as outorgas para irrigação da Fazenda Sapucaí e ficou constatado que as condicionantes estão sendo cumpridas, atendendo a legislação vigente.","A vegetação de matas ciliares não foi removida, a Cerquality apresentou os mapas detalhados de todas as fazendas com indicação da vegetação ciliar, as áreas de produção e os cursos d'água. Também tais informações podem ser obtidas no CAR das fazendas. Evidenciado a presença de zonas úmidas naturais presentes na área de produção. A unidade aflora apenas no período de chuvas. As áreas permanem intactas.","As fazendas adotam boas práticas agrícolas, realizam análises de solo, verificando as qualidades e deficiências do solo e corrigindo quando necessário. As fazendas as ações para controle de erosão como plantio direto, promovendo a manutenção de resíduos vegetais sobre o solo, além de o relevo ser plano o que ajuda a evitar o escoamento superficial, promovendo a infiltração da água de chuva.","As fazendas utilizam produtos adequados para controle de pragas e doenças. Os MIPs e planos de redução de uso de produtos químicos estão implementados. O monitoramento de pragas relatado em formulários denominados ''Monitoramento de Pragas na Cultura da Soja - MIP Soja''. Os formulários analisados continham as pragas encontradas, data, cultivar e lote","Armazenamento e transporte de agroquímicos e substâncias perigosas dentro das exigências legais. As embalagens vazias de defensivos agrícolas são lavadas, inutilizadas e descartadas corretamente, após a tríplice lavagem e devolvidos para empresas devidamente credenciadas para tal fim. Foram apresentados os certificados de entrega de embalagens vazias de agrotóxicos Há placas com informações dos produtos e período de reentrada para áreas recentemente pulverizadas. Os registros de aplicação de defensivo são feitos de forma manual posteriormente registrados no sistema. No plano de safra das fazendas, que define o planejamento agrícola, as recomendações de adubação seguem recomendações dos Eng. Agr. de acordo com as análises de solo das áreas.","Foram verificados os registros de aplicação retroativos, as Notas Fiscais de compra e armazenagem dos produtos. Nenhuma evidência do uso de agroquímicos listados nas Convenções de Estocolmo e Roterdã foi encontrada. Não foi evidenciado o uso de Paraquat nas fazendas do escopo de certificação.","Nas fazendas Santo Antonio, Santa Isabel e Sapucai são realizadas aplicações de agentes de controle biológico a nível experimental que seguem as recomendações feitas pelo Agr. Responsável pela fazenda, o mesmo reponsável pela aplicação das recomendações de defensivos agrícolas Nas Fazendas Santana e Santo Antonio Kohn Não foi verificado aplicações de agentes de controle biológico.","A metodologia está descrita no Plano MIC item 5.3 das fazendas amostradas, onde descreve que em casos de novas pragas ou surtos, instituições de pesquisa como Embrapa e consultores serão consultados a fim buscar metodologias eficientes de controle.","Foram apresentados registros do uso de agroquímicos que incluem os produtos comprados e aplicados, a identificação da área aplicada, nome do operador, do equipamento, e das condições meteorológicas durante a aplicação. Verificado POP 13- Manejo integrado de Culturas. Durante as entrevistas e verificação dos registros de aplicação amostrados, observou-se que a aplicação aérea é realizada respeitando os limites de distância. Não há área aplicada dentro dos 500 metros de áreas povoadas e cursos de água. Não há areas de produção que estão a menos de 30 metros de áreas povoadas e corpos de água.",Todas as áreas vizinhas utilizam o mesmo tipo de sistema de produção de soja GM.,As sementes compradas são oriundas de fontes legalmente conhecidas. Evidenciada a compra de sementes de fontes legais através de Notas Fiscais e os Termos de Conformidade de Sementes.
10,GMS Agronegócio ,GMS Agronegócio Ltda,2022,https://responsiblesoy.org/wp-content/uploads/2023/01/2022-Resumo-Publico-GMS-Agro.pdf,RTRS CUC AGR COC 0088,Control Union,29631,28/12/20,27/12/25,"6404,89",1,Individual,"Evidenciado que a legislação aplicável está sendo cumprida, conforme avaliação da documentação no escritório da fazenda, verificação das infraestruturas e visitas a campo, entrevistas com os colaboradores e gestores da fazenda, que as leis trabalhistas, ambiental saúde e segurança e agrícolas são respeitadas e cumpridas.",Os direitos legais de uso das terras estão definidos e demonstrados em documentos como matrículas e escrituras de posse das terras.,"Os aspectos foram identificados e o aprimoramento contínuo será monitorado, mostrando o empenho da fazenda em atender todos os critério e indicadores do padrão RTRS.","Condições adequadas de trabalho, os recibos de pagamentos de acordo com a atividade exercida com funcionários da fazenda, treinamentos para as funções, além de benefícios adequados e evidenciado aausência de descontos nos holerites que não estejam na legislação. Nenhuma evidência de agressão ou desrespeito foi visto in loco , ou ouvido durante a entrevista com os trabalhadores das frentes de trabalho e estruturas de trabalho da propriedade. Não foi identificado menores de 18 anos trabalhando na fazenda.","Foi apresentado ficha de registro, contrato de trabalho e holerites referente aos funcionários da unidade de produção, estando disponíveis em linguagem de fácil entendimento no escritório de contabilidade. A empresa e seus colaboradores não seguem nenhum sindicato no momento, por não haver sindicato atuante na região. Os treinamentos devidos e apropriados foram realizados.","As questões sobre saúde e segurança são informadas aos funcionários.O documento Programa de Gestão de Segurança, saúde e meio ambiente do Trabalho Rural (PGSSMATR) contém os riscos de segurança e o PCMSO onde são descritos os exames e cuidados que os colaboradores devem seguir. Os funcionários com funções específicas são capacitados. Os equipamentos de proteção adequados para cada função são utilizados corretamente. Procedimentos de emergências disponíveis","Os trabalhadores são livres para se afiliar a qualquer organização, no entanto, não há sindicato atuante na região.","As remunerações são compatíveis com a legislação nacional, nos holerites estão detalhados os salário e descontos, não houve deduções irregulares. As licenças como férias, doenças, afastamentos, entre outros são respeitadas. As horas trabalhadas estão sendo registradas e as horas extras ocorrem dentro do limite permitido pela legislação.","Há canais de comunicação e diálogo, divulgado através de placas na fazenda.",Não há povos indígenas e locais com importância cultural nas áreas de influência da fazenda auditada.,As reclamações e queixas são verificadas mensalmente e as respostas são passadas no DDS para os colaboradores de maneira geral. Na entrada da fazenda existem placas (Ouvidoria GMS) com telefones disponíveis para contato e reclamações da comunidade.,"As oportunidades de emprego são divulgadas localmente pelos funcionários e também pela empresa externa Promove, que possui um portal que recruta e faz a seleção dos funcionários. A fazenda colabora com ajuda financeira para adequação uma escola municipal da região e ações sociais por meio da cooperativa. Ofertas de bens e serviços são oferecidos","Avaliação realizada de maneira abrangente, através do relatório apresentado, realizado pelo departamento ambiental e desegurança do grupo GMS, onde os pontos de melhorias foram identificados, contemplando pontos social e ambientais da fazenda de maneira abrangente e clara.","Os locais de armazenamento de combustível, lubrificantes, entre outros estão localizados em áreas com piso impermeabilizado e contenção para proteção em caso de vazamentos acidentais. A matéria orgânica do solo é monitorada e medidas para melhoria, além disso o produtor utiliza as culturas: milheto, milho, trigo, aveia e realiza tudo como plantio direto e rotação de cultura.",Registro de combustível é feito de forma manual na bomba e depois passado ao Gerente administrativo. As informações do volume por hectare e por unidade de produto monitorado em todas as atividades relacionadas à produção de soja pode ser obtida. Diversos mecanismos e oportunidades de sequestro de carbono estão implementados.,"A partir de maio de 2009, não houve limpeza ou conversão das áreas incluídas na Categoria 1 dos mapas 3 e não houve conversão de terras após 2016, foi apresentado relatório com as imagens de satélite que demonstra um comparativo entre os anos de 2016 e 2020 e evidencia que não houve conversão de área após ano de 2016.","A vegetação nativa é mantida conforme lei federal, evidenciado através dos dados das matrículas e dados no CAR que as propriedades contém a quantidade de floresta preconizada no código florestal, que é de 20% para o bioma da mata atlântica, onde a fazenda está localizada. Também existe o Diagnóstico Ambiental feito pela cooperativa, que aborta áreas que as área de APP, evidenciado durante a verificação dos mapas, visitas a campo e imagens da fazenda. Caça e pesca não são admitidas.","Boas práticas agrícolas implementadas, são utilizadas práticas de rotação de culturas, plantio direto na palha, adubação e correção conforme cálculo técnico, áreas de contenção para armazenamento de produtos químicos e realização de análises de água como monitoramento. São realizados medidas de prevenção erosão como curvas de nível e sempre manter o solo coberto, assim como estruturas adequadas usadas para conter produtos químicos. Não verificado contaminação de águas subterrâneas, conforme relatórios de análises de monitoramento apresentado. Os procedimentos e sistemas de gerenciamento de irrigação estãoimplementados, através do programa ICROP que realiza os cálculos através dos dados inseridos do monitoramento dos dados meteorológicos e umidade do solo para aplicação da irrigação. Também foi apresentado outorga de água de captação para a irrigação, emitida pela Secretaria de Meio Ambiente e Recursos Hídricos.","Os cursos d'água e APPs estão mapeados. O documento Diagnóstico socioambiental demostra que as áreas de APP's estão sendo recuperadas por toda a propriedade por regeneração natural. Também existe o Diagnóstico Ambiental feito pela cooperativa, que engloba áreas de APP, evidenciado na verificação de mapas, visitas a campo e imagens da fazenda.","A matéria orgânica do solo monitorada, foi evidenciado através de entrevista com responsável técnico e documento da empresa que realiza as amostras e análises dos dados das análises de solo para gerenciamento através de gráficos e implementação de agricultura de precisão. São realizadas práticas para melhorar a qualidade solo como: Rotação de culturas, análises de solo com fertilização por agricultura de precisão, manutenção de resíduos de culturas sobre a superfície do solo através do plantio direto. A fazenda utiliza plantio em nível, curvas de nível e plantio direto para prevenção de erosão","A fazenda possui documento "" Procedimento de Boas Práticas Agrícolas e Manejo Integrado de Cultivo"" e há registros do monitoramento das pragas no documento padrão denominado ""Monitoramento de pragas na cultura da Soja"", além disso a fazenda utiliza outros métodos de controle, além do químico, que são: varietal, químico, fisiológico e biológico - BT. Os registros do monitoramento das pragas são realizados pela fazenda.","Os registros do uso de agroquímicos contam com os dados solicitados. Local de armazenamento e descarte realizado de forma adequada, todas as embalagens vazias de agroquímicos são triplamente lavadas, perfuradas no fundo e armazenadas até o momento de envio para a destinação. O armazenamento e transporte de agroquímicos e substâncias perigosas dentro das exigências legais. Há placas indicando a aplicação de produtos e o período de reentrada para áreas recentemente pulverizadas. O uso de fertilizantes segue recomendações de profissionais.",Não há o uso de agroquímicos listados nas convenções de Estocolmo e Roterdã. O Paraquat não é utilizado.,"As aplicações de agentes de controle biológico, seguem as mesmas dos defensivos agrícolas seguindo as Recomendações Técnicas Agronômicas emitidas para cada aplicação pelo Eng. Agr. Responsável pela fazenda.",Os proprietários da fazenda informaram que o órgão SIDAGO - Agrodefesa realiza a visita na propriedade.,"Procedimento ""Boas práticas Agrícolas"" e o manual da ANDEF Boas práticas agrícolas no campo estavam disponíveis. Os registros meteorológicos são realizados. Não são realizadas aplicações aéreas.",Todas as áreas vizinhas têm o mesmo tipo de sistema de produção.,"As sementes são compradas de fontes idôneas, conforme verificação notas fiscais de compra de sementes e termos de conformidade."
